appearances 5 1 
appeared 3 2 4 2 5 3 7 3 
appears 2 1 5 2 7 1 
append 7 3 
appended 6 1 
appending 7 4 
apple 3 1 4 4 5 1 
appleton 5 1 
applicants 5 1 
application 2 7 3 1 
applications 2 6 3 5 4 7 6 6 7 4 
applied 2 10 3 1 6 1 
applies 3 1 
apply 2 1 3 2 4 3 5 1 6 4 7 5 
applying 3 3 6 17 7 8 
appointed 5 1 
approach 2 2 3 3 4 1 6 6 7 11 
approaches 2 4 3 1 
appropriate 2 2 3 2 6 2 7 1 
approval 5 2 
approve 3 1 4 1 
approved 3 2 5 2 
approves 5 1 
approximate 6 2 
approximately 5 2 6 1 
apps 5 2 
apr 2 1 3 1 4 1 5 1 6 1 7 1 
april 2 4 3 3 4 5 5 8 6 2 
apropos 4 1 
aquaculture 2 1 
ar 2 1 3 1 4 2 5 1 6 1 7 1 
arab 2 1 3 1 4 1 5 1 6 1 7 1 
aragon 2 1 3 2 4 3 6 3 7 3 
arbitrarily 4 1 5 1 6 1 
arbitrary 3 4 4 1 6 4 7 1 
arboretum 5 1 6 10 7 13 
architect 5 1 7 1 
architects 5 1 
architectural 2 1 5 1 
architecture 2 10 4 1 5 2 
architectures 3 1 4 2 7 1 
archive 2 1 3 1 4 1 
archived 2 3 4 7 
archives 5 1 
arctic 5 1 
are 2 1 3 1 4 1 5 1 6 1 7 1 
area 2 2 3 22 4 10 5 1 6 4 7 5 
areas 2 12 4 1 5 2 6 1 
arena 5 10 
argc 3 1 
arguably 5 2 
argued 2 3 5 1 
argues 2 1 
arguing 2 1 
argument 3 3 
arguments 3 9 7 1 
argv 3 1 
arise 6 1 
arisen 6 1 
arithmetic 2 1 3 9 
arithmetical 3 1 
arithmometer 2 1 
arity 3 1 
arm 2 1 3 1 4 1 6 1 7 1 
arms 5 1 7 1 
army 2 1 
arnold 5 2 
arose 6 1 
around 2 2 4 1 5 3 
arpanet 4 1 5 2 
arr 3 3 4 1 
arranged 2 1 5 4 
arrangement 2 1 
arrangements 5 1 
array 3 31 6 34 7 41 
arrays 3 28 4 1 6 11 7 15 
arrived 4 1 
arrows 7 1 
art 4 1 5 1 6 1 7 1 
arthur 5 2 6 1 
article 2 23 3 15 4 8 5 13 6 8 7 14 
articles 2 19 3 4 4 14 5 14 6 16 7 16 
artifacts 2 1 
artificial 2 11 6 1 7 2 
artist 5 2 
arts 2 1 5 19 
artseditor 5 1 
arwu 5 2 
as 2 60 3 24 5 2 7 1 
ascc 2 1 6 1 
ascii 4 1 
ashworth 5 1 6 1 7 1 
aside 5 1 
ask 5 1 
askdartmouth 5 1 6 1 
asked 3 1 
askitis 6 1 7 1 
aspects 2 4 
assembler 4 1 
assembly 3 7 4 4 5 2 6 1 7 1 
assert 3 1 
assess 2 4 3 1 6 1 
assessment 2 1 
assign 3 2 6 1 
assigned 3 3 4 1 6 1 7 1 
assigning 3 1 
assignment 3 9 
assignments 7 1 
assistance 2 1 
associated 2 2 5 2 6 1 
association 2 9 4 1 5 14 6 1 7 1 
associative 6 1 
assume 6 1 
assumed 3 2 
assumes 3 1 4 4 
assuming 7 3 
assumption 4 1 6 1 
assumptions 3 1 
asterisk 4 1 
astronomy 2 1 
astros 5 1 
asturianu 2 1 3 2 4 3 6 3 7 3 
asymco 4 1 
asymptotic 7 1 
asynchronous 4 8 5 5 6 11 7 13 
at 2 16 3 23 4 26 5 53 6 26 7 43 
athens 5 14 6 1 7 1 
athlete 5 1 
athletes 5 1 
athletic 5 12 
athletics 5 1 6 1 7 1 
atkin 5 1 
atomic 3 1 
attached 5 1 
attack 6 1 
attacks 6 1 
attempt 3 1 
attempted 5 1 
attempts 3 2 5 1 6 1 
attend 5 1 6 1 7 1 
attendant 6 1 
attended 5 1 
attorney 5 1 
attribute 4 1 
attributed 2 1 3 1 4 1 5 1 6 1 7 1 
attributes 3 2 
attribution 2 1 3 2 4 3 5 1 6 4 7 5 
au 2 1 
audio 2 2 
auditing 3 1 
auditorium 5 3 
aug 2 1 3 1 4 2 5 1 
augenstein 6 1 
augmented 3 3 4 1 7 1 
august 2 4 4 1 5 3 6 1 7 1 
augustus 5 1 
ausmus 5 3 
austin 4 1 
australasian 6 1 
australia 5 3 
australian 3 1 7 4 
author 5 2 
authoritative 3 2 4 4 5 1 6 2 7 2 
authors 5 1 
auto 3 1 5 3 
automata 2 3 6 1 
automated 2 2 3 3 4 5 5 4 6 4 7 4 
automatic 2 2 3 8 7 1 
automatica 2 1 3 1 5 5 
automatically 3 5 6 1 7 1 
automating 4 1 6 1 
automation 2 1 3 1 
automotive 2 1 
autres 4 2 
auxiliary 6 1 
availability 3 2 
available 1 1 2 2 3 9 4 6 5 3 
average 5 2 6 15 7 3 
averaged 7 1 
avl 6 1 7 2 
avoid 2 1 4 1 5 5 7 1 
avoided 6 2 
avoids 6 1 
await 5 1 
awaited 5 1 
award 5 1 
awarded 4 1 
awards 2 2 3 4 4 8 5 2 6 8 7 10 
away 4 1 
awk 3 1 4 2 6 1 
ayisyen 2 1 3 1 4 1 6 1 7 1 
az 2 1 3 2 4 3 6 3 7 3 
aziz 5 1 
b 2 8 3 15 4 6 5 38 6 16 7 6 
babbage 2 4 3 1 4 8 5 4 
bachelor 5 4 
back 4 2 5 2 6 2 7 1 
backspace 3 1 
backward 3 1 4 1 5 2 6 2 7 2 
backwards 7 2 
badenhausen 5 1 
badly 5 1 6 2 7 2 
bahasa 2 1 3 11 4 7 5 4 6 4 7 4 
baker 5 11 6 1 
balance 7 1 
balanced 6 1 
balancing 6 2 7 1 
banahan 3 1 
band 5 1 
bank 5 1 
banks 3 1 
banner 4 1 
bannercontroller 2 1 3 1 4 1 5 1 6 1 7 1 
banning 5 2 
banta 5 1 
barbara 5 2 
barbecue 5 1 
barry 5 1 
bartlett 5 1 
basa 3 1 4 2 5 4 6 6 7 2 
base 2 1 3 2 7 1 
baseball 5 2 
based 2 3 3 1 7 2 
baseline 4 1 
basename 4 1 5 2 6 1 
basic 2 2 3 8 4 3 5 1 6 5 7 6 
basics 7 1 
basis 3 2 4 4 
basketball 5 1 
bates 5 2 
battle 5 1 
battlefield 2 1 
bay 5 1 
bc 4 2 
bce 2 1 
bcpl 3 1 
be 2 1 
bear 4 1 
bearing 4 1 5 1 
bears 5 3 
became 2 6 3 1 4 5 5 4 
because 2 3 3 8 4 1 
beck 5 1 
become 2 3 3 2 4 1 5 6 6 2 7 2 
becoming 2 5 5 23 
bed 5 1 
beds 5 1 
been 2 10 3 14 4 8 5 15 6 1 7 1 
beer 5 2 
before 3 7 4 3 5 1 6 1 7 2 
began 2 3 3 7 4 5 5 2 
begin 3 1 
beginning 3 3 4 2 
begun 5 1 6 2 
behalf 5 1 
behavior 2 1 
behind 5 1 
behrens 5 1 
being 2 3 3 4 4 4 5 3 6 5 7 5 
believed 2 1 6 1 
believer 5 1 
bell 3 1 
belong 7 2 
belonged 5 1 6 1 7 3 
belongs 6 1 
below 4 1 6 5 7 2 
ben 3 1 6 3 7 3 
benchmark 5 1 
beneficial 3 1 4 1 6 1 
benefit 7 2 
benefits 5 1 
benet 4 1 
benjamin 4 1 
beos 4 1 5 1 
bequests 5 1 
berkeley 2 1 3 2 4 3 
berlin 6 1 
bernard 2 3 5 1 6 3 
bernoulli 2 1 3 1 6 1 7 1 
bernstein 6 2 
berry 5 1 
bert 7 2 
bertrand 2 2 
besides 6 1 
best 2 3 5 8 
betatempdisable 2 1 3 1 4 1 5 1 6 1 7 1 
better 3 1 5 1 6 7 
betty 2 1 
between 2 6 3 8 4 3 5 2 6 6 7 2 
beyond 4 2 
bg 4 1 
bgu 2 1 
bible 5 1 
bibliographies 2 1 3 5 4 1 6 4 7 1 
bibliography 2 3 5 1 
bicentennial 5 2 
bidgoli 3 1 
big 5 20 6 1 7 1 
bill 2 1 4 1 
billion 4 1 5 5 
binaries 4 1 
binary 2 1 3 2 4 5 
binding 3 1 4 1 5 2 
bingen 5 1 6 1 7 1 
binomial 6 1 7 1 
binstock 3 1 
biochemical 2 1 3 2 4 3 5 1 6 4 7 5 
biographies 5 1 
bioinformatics 2 3 
biological 2 1 4 1 
biology 5 1 
biomechatronics 2 1 
biomedical 2 2 5 1 
biondi 5 1 
bionic 3 1 4 1 6 1 7 1 
biotechnology 2 2 
birth 7 1 
birthday 6 1 
bistable 2 1 
bit 3 1 4 13 5 1 
bitc 3 1 4 1 5 1 6 1 7 1 
bits 2 2 3 2 4 2 5 1 
bitwise 3 2 
bjarne 3 2 7 1 
black 2 1 6 1 7 3 
blackberry 4 1 5 2 
blaise 2 2 3 1 5 5 6 5 7 14 
blanchflower 5 1 
blemishes 3 3 6 1 
blending 2 1 
bletchley 2 1 
blind 5 2 
blitz 5 3 
blitzmail 5 6 
block 3 2 4 1 6 1 7 1 
blocking 4 1 
blocks 3 4 4 1 6 1 7 2 
blodget 5 1 
blog 5 1 
bloom 6 1 
bn 6 1 
bnf 3 1 
board 2 2 5 19 
boardroom 5 1 
boardwalk 5 1 
boarisch 2 1 3 1 4 1 5 1 
boasts 5 1 
boathouse 5 1 
bob 6 2 7 1 
bobcats 5 1 
bobrow 7 1 
bodies 3 1 
body 2 1 3 3 
boehm 2 2 
boehme 6 1 
bokm 2 1 
bonfire 5 1 
book 2 2 3 9 4 7 5 6 6 6 7 6 
books 2 2 4 1 5 4 
bookstore 5 1 
bool 3 1 
boole 2 1 3 22 4 3 6 1 7 1 
boolean 2 1 3 2 7 1 
boot 4 3 5 10 6 3 7 2 
booz 5 3 
boris 5 1 6 5 7 1 
borland 3 1 4 1 
borrowed 3 1 
bosanski 2 1 3 2 4 3 6 3 7 3 
boston 4 1 5 3 
both 2 5 3 6 4 6 5 7 
bottled 4 1 
bottom 7 1 
boudreaux 5 1 
bound 6 1 
bounded 6 1 
bounds 3 6 6 1 
bowler 5 1 
box 2 1 
boxes 5 1 7 3 
boxing 5 1 
boy 5 1 6 1 7 1 
boys 2 1 
brace 3 2 6 1 
braces 3 2 
brackets 3 3 
brad 5 1 
brady 3 1 
brain 5 1 6 2 
brains 5 1 
branch 2 5 
branches 2 1 3 1 4 1 
brand 2 1 4 2 
brandeis 5 1 
branding 4 3 
brands 4 1 6 4 7 1 
break 3 2 5 1 
breaking 2 1 
brent 5 1 
breu 5 1 
brezhoneg 2 1 3 2 4 3 6 3 7 3 
brian 2 1 3 2 5 3 
bridge 2 1 
brief 2 1 
bright 5 1 
bring 5 1 
bringing 4 1 5 1 
brings 6 1 
britain 5 1 
britannica 5 2 
britton 5 1 6 3 7 4 
broad 2 2 4 1 
broadcast 2 1 
broadcasting 5 1 7 1 
broadened 2 1 
broader 2 1 4 1 
brochure 5 1 
brodnik 7 1 
brokering 2 1 3 5 6 5 7 3 
bronze 5 1 
brooks 5 1 
brother 5 1 
brothertown 5 1 
brought 4 1 
brown 5 1 
browser 1 1 3 1 
bruce 2 2 
bsczi 2 1 3 1 4 1 6 1 7 1 
bsd 3 1 4 21 6 1 7 1 
bsdi 4 1 
bsearch 3 1 
bu 2 1 
buck 5 1 
bucket 6 33 
buckets 6 18 
budd 5 1 6 1 7 3 
buffalo 2 1 
buffer 3 3 6 2 7 1 
buffers 7 1 
bugs 4 1 
build 2 1 4 2 7 2 
builder 3 1 5 2 6 2 7 1 
building 2 3 3 1 4 2 
buildings 2 1 5 17 
built 3 4 5 3 6 4 7 4 
builtins 4 1 5 3 
bulkdelcourses 2 1 3 1 4 1 5 1 6 1 7 1 
bulkdelorgs 2 13 3 75 4 26 5 5 6 8 7 16 
bulldogs 5 2 
bulletin 5 3 
bump 4 10 5 5 6 12 7 15 
bumping 6 1 
bureau 2 2 
bureaucrats 5 1 
burroughs 3 1 4 1 
burton 5 2 
bus 4 1 6 2 7 2 
business 2 5 4 2 5 12 
businesses 4 1 5 4 
but 2 8 3 24 4 12 5 7 6 20 7 9 
butler 2 1 
buzzflood 5 1 
by 1 1 2 29 3 82 4 42 5 51 6 58 7 66 
byte 3 3 4 3 6 1 7 1 
bytes 3 1 4 2 6 1 7 1 
c 1 1 2 5 3 378 4 62 5 21 6 65 7 61 
ca 2 5 3 3 4 3 5 3 6 3 
cabinet 5 1 
cache 2 2 3 2 4 2 5 2 6 14 7 4 
caches 6 1 7 1 
caching 6 1 7 1 
caf 5 3 
cal 4 1 
calcul 2 1 
calculated 4 1 
calculating 2 2 3 2 4 3 5 22 6 1 7 1 
calculation 6 1 
calculations 2 3 6 1 7 2 
calculator 2 8 7 1 
calculi 2 2 
caldwell 5 1 
caleb 5 1 7 2 
california 2 1 
call 3 2 4 1 7 1 
callback 6 1 
callbacks 3 1 
called 2 5 3 12 4 5 5 2 
callies 5 1 
calling 3 1 
calls 2 1 3 7 4 2 
cam 2 1 3 3 4 1 5 1 6 3 7 1 
cambridge 2 3 
came 2 3 3 1 4 8 5 2 6 2 
cameras 2 1 
campaign 5 4 6 1 7 1 
campus 2 1 6 2 7 1 
can 2 8 3 2 4 4 5 1 6 2 7 5 
canada 5 1 
canadian 5 1 
candidates 5 1 
cannot 3 1 
canonical 4 1 
capabilities 3 1 
capital 3 1 5 4 
cappella 5 1 6 1 
caps 4 2 
car 7 1 
carbon 5 1 7 4 
card 2 2 5 1 
cards 2 4 5 1 
care 2 1 3 1 5 1 7 1 
career 5 1 
careful 3 1 6 1 
carefully 3 1 6 2 7 1 
careless 3 6 4 11 5 9 6 12 7 22 
carelessly 3 1 
cargo 7 2 
carlsson 7 1 
carnegie 5 1 
carnegiefoundation 5 1 
carnival 5 1 
carolina 7 1 
caroline 5 1 
carriage 3 1 
carries 7 1 
case 2 2 3 4 4 3 5 3 6 23 7 12 
cases 3 4 6 7 7 5 
casey 5 1 
casque 5 1 
cast 3 1 
casting 3 1 5 1 
casually 4 1 
cat 4 1 6 1 7 1 
catal 3 1 4 2 5 1 6 2 7 3 
catalog 7 1 
catb 4 1 
categorical 3 1 4 3 5 3 6 3 7 3 
categories 2 2 3 2 4 6 5 2 6 4 7 4 
category 2 4 
cats 7 1 
cause 3 3 4 3 5 1 6 4 7 4 
causes 3 1 6 1 7 1 
causing 6 1 
cays 7 1 
cc 4 2 5 7 6 1 7 1 
ccmeonemails 2 1 3 1 4 1 5 1 6 1 7 1 
ccsnh 5 1 
cd 2 5 3 13 4 9 5 6 6 42 7 35 
cddl 4 1 
cde 4 1 
cdr 7 1 
ce 2 1 
celebrated 5 1 7 1 
celebration 5 3 
celebrations 5 1 
celebratory 5 1 
celis 6 1 
cell 2 1 
cells 6 3 7 5 
cellular 5 1 
censky 5 1 
center 4 4 5 39 
centered 4 1 5 1 
central 2 3 3 1 5 4 6 3 7 5 
centralauth 2 1 5 1 
centralautologin 2 1 3 1 
centralnotice 2 1 3 1 4 1 5 1 
centre 5 17 6 1 7 1 
centric 5 1 
centuries 5 1 
century 3 1 4 1 5 8 
ceos 5 3 
ceramic 2 1 
ceremony 5 1 
certain 2 2 3 2 4 1 6 2 7 1 
certainly 2 1 
certificates 5 1 
certification 4 4 
certified 4 5 
cfs 5 1 
cgd 2 1 3 1 4 1 5 5 6 1 
cgi 2 1 3 2 
ch 2 1 3 2 7 1 
cha 5 1 
chain 6 1 
chained 6 5 
chaining 6 1 
chains 4 1 
challenged 3 4 5 1 6 1 7 1 
challenges 2 1 3 1 4 1 5 1 6 1 7 1 
chamberlain 5 2 
champion 5 1 
champions 5 3 
championship 5 1 
championships 5 2 
chance 6 2 
chancellor 5 2 
change 2 2 3 1 5 4 6 2 7 1 
changed 3 2 4 1 5 4 
changes 2 3 3 9 4 7 5 6 6 9 7 9 
changing 4 1 
channel 7 1 
chaos 6 1 
chapel 7 1 
chapman 2 1 
chapter 6 2 7 1 
chapters 2 1 5 1 
char 3 4 7 1 
character 3 7 5 3 6 4 7 1 
characteristics 2 1 3 4 6 1 
characterization 2 1 
characterized 4 2 
characters 3 11 4 1 7 1 
charge 5 1 
charged 5 5 6 4 7 1 
charinsert 2 2 3 3 4 4 5 2 6 5 7 6 
chariots 5 2 
charity 5 9 
charles 2 2 5 1 
charter 5 12 
charts 2 4 3 3 4 2 5 2 6 2 7 4 
chase 5 4 
cheaper 6 1 
check 3 2 5 1 6 2 
checked 3 2 
checking 3 5 6 1 
checks 3 3 
cheel 5 1 
chemical 2 2 
cheminformatics 2 1 
chemistry 2 3 5 2 
cheney 5 1 6 1 7 1 
cherie 5 1 
chess 7 1 
chetan 5 1 
chgrp 4 1 
chi 6 1 
chicago 2 2 5 2 
chief 5 3 
children 5 1 
childs 5 1 
china 5 1 7 20 
chm 2 1 
chmod 4 1 
choice 6 12 7 4 
choices 6 1 7 1 
choose 4 1 5 1 6 1 
choosing 3 1 4 4 5 1 
choppy 2 1 
chore 3 1 5 18 
chosen 5 1 
chown 4 1 
chris 5 3 
chrissy 5 3 6 4 7 4 
christgau 5 1 
christian 5 1 
christianization 5 1 
christine 2 2 
christoph 2 1 
chronicle 5 2 
chronicles 4 1 5 16 6 1 7 16 
chroot 4 1 5 3 7 11 
chuck 4 1 5 1 
church 5 1 7 1 
churches 5 1 
cic 5 1 
cil 3 1 
cilk 3 1 
cinc 2 1 
cinema 2 1 5 5 6 1 
cint 3 1 
circa 2 1 3 1 5 1 
circle 4 1 
circles 4 1 
circuit 2 1 4 1 
circuits 2 2 
circular 6 1 7 25 
circularly 7 11 
circumscribed 5 1 
circumstances 7 1 
cis 2 1 
citation 2 3 4 2 6 3 7 2 
citations 3 6 6 1 7 8 
cite 2 5 3 6 4 9 5 13 6 14 7 15 
citeseer 2 1 
citing 5 1 
city 5 2 
civil 2 2 
cksum 4 1 
cl 2 1 3 4 4 1 5 2 6 1 7 1 
claimed 2 1 4 1 6 1 7 1 
clamantis 5 3 
clang 3 2 4 1 6 1 7 1 
claremont 5 1 
clarification 7 3 
clarified 4 2 
clarkson 5 3 
class 2 3 3 4 4 4 5 41 
classes 5 4 6 1 
classic 7 1 
classical 2 2 5 4 
classics 5 1 
classification 2 4 5 3 
classifications 5 3 
classified 2 1 
classrooms 5 1 
claude 2 2 
clay 2 1 
clean 2 2 5 8 
cleaners 2 1 
clear 2 1 4 1 6 1 
cleared 5 1 
clearinghouse 3 1 
clearly 6 1 
cli 3 1 4 2 5 3 
click 5 1 
client 2 1 3 1 4 2 5 1 6 1 7 1 
cliff 7 1 
clifford 6 1 7 2 
cliffs 3 3 
clinton 4 1 5 1 
clip 2 1 3 1 4 1 5 1 6 1 7 1 
close 5 3 
closed 4 1 
closely 3 1 4 1 
closer 2 1 6 1 
closes 4 1 
closing 3 1 5 2 
club 5 18 
clubhouse 5 1 7 1 
clubs 5 1 
clung 5 1 
cluster 5 2 
clustering 6 5 
cm 4 1 
cmp 4 1 
cms 4 1 
cnet 2 1 
cnn 5 3 
co 1 1 
coach 5 1 
coal 2 1 
coalesced 6 1 
coalition 2 1 
coast 5 2 7 1 
coat 5 2 
cobol 3 1 4 1 6 1 
coburn 5 1 
code 2 1 3 35 4 15 6 9 7 10 
codebreakers 2 1 
coded 3 3 
codelite 3 1 4 1 6 1 7 1 
codes 2 3 3 1 4 2 7 1 
codewarrior 3 1 4 1 6 1 7 1 
coding 2 5 7 1 
coed 5 1 7 1 
coeducational 5 1 
coexistence 5 1 
cognition 7 1 
cognitive 2 3 3 3 4 1 6 2 7 2 
cohen 2 2 7 1 
coherent 5 1 
col 5 1 
colby 5 1 
coleridge 5 1 
colgate 5 1 6 2 
collaboration 4 1 
collapsiblenav 2 1 3 2 
collar 7 1 
colleagues 3 1 
collection 2 1 3 1 4 1 6 1 7 1 
collections 2 1 3 2 4 2 6 4 7 3 
collective 5 1 
collectively 4 1 
college 1 1 2 2 5 243 7 1 
colleges 2 2 5 30 
collegiate 5 3 
collegium 5 3 
collided 6 1 
colliding 6 1 
collier 2 1 
collins 2 1 5 1 7 1 
collis 5 35 6 183 7 113 
collision 6 12 7 8 
collisions 6 12 
colloquially 5 1 
colmar 2 1 
colonial 5 6 
color 5 2 
colors 5 1 
